Date,P1 : ]0 - 3] kW,P2 : ]3 - 9] kW,P3 : ]9 - 100] kW,P4 : ]100 - 250] kW,P5 : ]250 - 1000] kW,P6 : ]1000 - 12000] kW,P7 : > 12000 kW
20180808,3461400116.0,1725341673.0,6288497908.0,5351038139.0,3802500366.0,72325070543.0,8708390336.0
20180809,2426931183.0,1017862947.0,3755423711.0,3525243774.0,3142844877.0,97876171147.0,14379132270.0
20180810,4034403111.0,2021035826.0,7348529639.0,6152118740.0,4197503213.0,90851950130.0,10094622334.0
20180811,4352778966.0,2243819211.0,8118872019.0,6683207536.0,4193218547.0,58254130341.0,5393899887.0
20180812,4064316538.0,2087965743.0,7550883576.0,6273020365.0,3861459501.0,73871770263.0,7476717986.0
20180813,2687919877.0,1232516557.0,4555705537.0,4152499664.0,3525312411.0,89060740101.0,11049730263.0
20180814,3332982265.0,1477809165.0,5445696424.0,4830999326.0,4110497836.0,69998090473.0,6461809873.0
20180815,4160902009.0,2057743677.0,7458189400.0,6232790086.0,4206934879.0,57556229355.0,4624877760.0
20180816,4052597064.0,2094609746.0,7583341935.0,6292817561.0,3990286171.0,54945425678.0,5632787930.0
20180817,3524290434.0,1638386978.0,5942569903.0,5084077190.0,3683574738.0,71320001763.0,8873349315.0
20180818,4354298544.0,2133701085.0,7877195943.0,6364952578.0,4106753353.0,62686701958.0,5325536931.0
20180819,4461484769.0,2258444938.0,8157728103.0,6664919731.0,4014505578.0,62931466168.0,5064654925.0
20180820,3753408819.0,1845223459.0,6700963928.0,5642739067.0,3765055656.0,53729934439.0,4801574934.0
20180821,3890771785.0,1967175145.0,7134806216.0,5940267723.0,3747305603.0,46183435752.0,4536986429.0
20180822,4003666521.0,2048817213.0,7414886919.0,6104317887.0,3652900681.0,45604584561.0,4905763763.0
20180823,3645658474.0,1782633724.0,6476742008.0,5477013297.0,3617907931.0,62514094464.0,7000487651.0
20180824,3322244878.0,1488324306.0,5465173906.0,4773819655.0,3721422851.0,93606085871.0,10459721214.0
20180825,2761774869.0,1187982806.0,4410699277.0,4029711749.0,3540026586.0,76040007133.0,9037149924.0
20180826,3973668710.0,2017757292.0,7338979421.0,6111941099.0,3944486256.0,89748730160.0,8499143599.0
20180827,3535370653.0,1817720621.0,6613882457.0,5568305510.0,3809816856.0,87963755843.0,10095581176.0
20180828,3898584571.0,2073394808.0,7515362493.0,6206465121.0,3770074751.0,51517737441.0,5158587181.0
20180829,2720195124.0,1280372841.0,4715577985.0,4231046640.0,3446264561.0,85631615560.0,10637085615.0
20180830,2950870243.0,1332988538.0,4927269601.0,4449806741.0,3732198669.0,53188583956.0,4936420513.0
20180831,3650583016.0,1732610002.0,6313629746.0,5370124597.0,3774316653.0,53736072956.0,5570789068.0
20180901,4175387077.0,2092759980.0,7649953533.0,6377692387.0,3862726256.0,65275349462.0,6283039401.0
